IsoWeeks,a flu,chest infection symptoms,cold flu,flu,flu nhs,flu pregnancy,flu stomach,flu symptoms,flue,man flu,symptoms of flu,what is flu,bronchitis symptoms,cold and flu,bronchitis,chest infection,colds,cough medicine,laryngitis,lemsip,pleurisy,sinusitis,fever flu,sinusitis symptoms,gastric flu,sinuses,tonsilitis,catarrh,coughing blood,coughing up,coughs,night nurse,Disease Rate
Iso Week 675,106.4308541363397,58.4023312918322,183.14653861276685,1385.255244467929,37.62785888550828,32.434563098480595,49.72673587417238,268.6098716544484,387.4244953839956,59.57986537606856,64.29135466776984,40.06686977885655,41.21629610793697,90.54318876326208,212.2714443554443,411.4725745076328,223.49522404511728,100.99453663401364,134.2378677782416,93.9911545191198,159.7960807203626,203.36002398125305,30.63736796491409,26.43776226110023,50.3868242914084,119.53941320195187,92.76897608776724,72.84442902842025,82.26265596948276,115.80317657557424,94.1580322412614,73.90168104912183,7.958696406
Iso Week 676,150.27248412284916,61.7733251227304,195.41071148636223,1695.5843978241926,51.34373052759198,31.38782896625312,48.237441605114086,333.6722870310179,422.2453714212478,62.771581492523765,81.08216582651839,38.626830303280194,33.40172528647703,96.8646364832062,241.56526305857977,391.749446624735,226.2387795537996,111.21617100414352,122.28999210638185,83.2224427709547,189.19781470305475,236.0582320843676,37.84681701408082,24.83306327915583,32.712136046379925,122.3218648340811,86.7894015693859,93.86324836814026,93.39746011588804,146.52797816534692,85.83455464971999,98.48073021701646,9.840249069
Iso Week 677,116.11390102570728,73.96103847765885,188.0423057849244,1687.9533368763166,55.53831996031368,34.4685437973245,60.65476373012133,395.6541125384297,426.1135044524764,57.681048533523,76.55353029692091,47.34239642959919,43.384831788128245,107.59064196899,261.2156117039783,457.8301988151073,239.6279211620633,87.6333653157991,109.38112184650264,108.03604750769225,195.2180735510937,231.94623780400283,42.851581105552434,25.134426213823755,42.91475231230864,139.63896534948486,97.23284844674322,89.1235356853848,89.85752351723315,173.75754612197684,71.02982515824706,113.40269912283884,12.86066117
Iso Week 678,143.8637499005524,64.91414416601162,179.21292427385742,1545.5763190072623,46.18287645300744,42.39286596653057,61.366056186952285,332.6492018046579,335.36860222527724,44.12724375987055,71.65442956853028,34.31490658113575,39.57539179500522,110.87942225332738,246.3073021854508,486.341810788959,192.97717807176227,99.05790299660916,101.73370037140174,104.13899275473791,194.14314569417317,252.1876242978929,35.24886585700059,41.20192839847378,38.3404113137117,110.23725084657258,84.74696267606778,97.48431195181118,85.665003598701,152.3660757110899,81.11685546673282,73.9020896291914,15.25579988
Iso Week 679,144.8959797874957,52.608528687984645,183.7425609377088,1614.157159154776,44.22017867025219,32.96134450755253,57.26934254301855,351.62335215416186,376.7602454755302,68.5683366402255,84.28984150484685,56.96998258001838,31.71681933126499,121.34602880371244,254.70005147953512,453.8624610254354,199.26423027954488,75.17951439989197,128.51494893148703,90.07812499013497,217.81960281211937,265.7278966205472,33.0495199925972,43.843955288030365,35.916577572466686,117.5059406633252,73.55800922751845,64.90884656143488,76.63142876797976,153.1985172950621,59.66476779503848,111.49231133358178,12.5477914
Iso Week 680,108.64104348998195,75.25025172348371,156.5760399232022,1396.236063888371,39.07396774493317,36.83290573668746,52.25719722920528,282.9545880066676,288.427354689215,48.95112991791476,69.12783627617897,46.56149633825639,42.91064414384633,90.87898228424032,239.40802685519904,399.0313488535579,194.16197716065156,80.85542926324788,102.10176525357932,64.67115346390621,174.72292634443752,250.99221331680044,28.89110761236876,41.14752584638539,32.54028322576419,111.22280973232256,71.48681545538608,91.20231522726382,80.58632560522945,142.16729595410618,73.47593938866844,83.55320282491034,17.33327732
Iso Week 681,114.52192713111567,62.14552043915359,158.6481504607565,1366.93100791982,36.09038103839226,30.47391531228257,39.40817904729979,291.8449996041103,300.1190075680317,56.167109012220685,55.41323896571368,55.16232216508509,34.50451631648728,88.68029465857272,210.84145265898883,396.44980502867605,164.26841381311002,60.14129111033703,118.01781364681176,73.14567746131122,137.4287715817231,232.35150983214388,37.95315520573037,21.87963475460925,31.32960606325109,112.82777152505552,95.93124169068678,80.0021680687685,95.58265152210936,144.98175977813835,79.67029391274475,69.5938353799667,17.66092247
Iso Week 682,111.57072128788936,73.03124432221554,154.81172893815983,1304.9765187974033,31.830032605051183,21.91996634313244,52.27411817542082,263.0470193842535,327.78948215342774,64.63339883411888,62.14187373932749,46.48207752372427,30.334453402004083,88.03132994731538,217.8483960215112,409.0772396642676,183.787703997824,85.15074571440155,142.83700584995017,64.67606330913092,160.28869796404427,231.16435391022725,27.277159475330937,39.15940419015583,34.75719962413833,93.34566490220855,89.89794639593003,53.85536205876542,77.26107716525375,124.434777466878,81.90553906282855,92.04234049503334,15.6344815
Iso Week 683,123.69178051286542,72.54068991156764,187.3027064488595,1319.194383701532,25.025917175476632,22.05053734651363,55.22428393308444,300.4363313545219,296.1736038517747,48.43518083283063,74.4432159516592,42.94498117389006,19.852369096223065,92.90396522851351,204.58396604850472,429.592105085902,184.6901985995674,82.68998873622574,131.11596604900248,81.21142728379662,169.46671749172978,272.663542180403,30.356972399306024,44.008456072123366,37.54028360053712,113.31933971897942,113.27559009335168,65.163718293461,75.40067631526891,146.63323500702398,65.93733338036382,81.45455007698513,15.45326512
Iso Week 684,114.4641200909716,64.36843428074795,137.52064496917052,1126.2172318552991,30.10520022267904,26.86286691773191,45.98450505707977,254.622311745192,282.6346304164352,60.52198877864394,53.36894002909487,21.20220553750588,40.30687030387299,91.03366210029591,192.97403054418447,404.3810959390038,154.15114141119875,86.3559956136233,121.92374052261816,55.90249293598979,153.29443727761097,260.0259158017752,34.33332390566265,64.9801922942427,44.53125930435535,135.41655897616292,93.352627917617,83.85096935607706,68.88666833789986,162.1958313279325,85.31536096776544,76.6979742213136,17.6672072
