IsoWeeks,flu,flue,bronchitis,chest infection,colds,pleurisy,sinusitis,tonsilitis,Disease Rate
Iso Week 310,561.1853554313697,279.827017585255,107.65377805428908,132.33028002193345,113.89145856776835,67.5807436767187,113.2271907782862,110.95524645419242,22.76421983
Iso Week 311,491.5971244781285,313.1336819873435,99.72079636758994,110.59215039518116,94.24432721528376,81.29408539287485,159.01415618697214,114.94122308773356,19.49319658
Iso Week 312,478.2831496777914,231.39855719222615,84.5730406427186,121.90136776711851,87.97018724322652,94.43374152679723,139.3552240532575,111.50023008630036,17.09331151
Iso Week 313,473.9494294602781,280.51203619504173,98.9881520209904,123.59980658401254,115.12122059119292,79.65983012114914,157.17902550504996,145.02771957672908,10.28373627
Iso Week 314,545.7160086128823,262.9791112646952,114.53386360586885,129.62767910683613,122.01578032852844,122.12744732378393,154.14511578277455,121.0382460321746,9.834469569
Iso Week 315,440.74714688482345,190.01733763319055,110.87150770234416,118.75924488198828,117.1527903169082,83.41406979911974,150.32962308372365,87.13814422143912,15.05695811
Iso Week 316,424.1117906773308,214.88555242405872,86.32848464317841,118.32104823624232,103.46942838837744,59.3580135667229,98.25014293755449,133.1054402680698,10.45633468
Iso Week 317,448.85980917485085,213.37682294509423,108.93561100050232,115.12989384215376,96.0783185096973,93.36730210028894,168.0014527840697,121.29674173596332,9.023832235
Iso Week 318,444.636024789112,208.9575172742195,68.40369658161276,129.39876418207984,110.90745863214588,87.19635369643598,121.24456782405431,100.63086374610552,8.640715551
Iso Week 319,429.40478031855406,170.4577832517057,96.64713360272351,109.72870905841616,131.30433541984883,66.35561662874525,143.69840379182375,127.61879163688124,7.953832422
Iso Week 320,439.4502914179644,246.82824562536544,90.01799203468838,88.6006499710335,117.71587473195444,84.05385443232726,164.13651787357054,122.50325870350876,8.416885927
Iso Week 321,391.4455798913622,192.81649460996297,103.57019827293328,110.5776777409717,99.72468006924244,101.70297635544668,175.48777167724458,93.23622041696385,6.447132052
Iso Week 322,344.81736523583925,196.77650238495772,102.0137781004562,168.8919934145118,160.16703484235225,78.12323565226866,191.6098804363901,93.60321928553064,6.393956967
Iso Week 323,482.9079597628816,166.42490193022098,95.82429409152608,136.22752266584936,101.76521908993725,87.75187236130174,149.51601923457994,94.7930969808575,5.830476649
Iso Week 324,3774.600181862292,209.97356994912855,134.28895081901425,110.57766943626358,118.68143963652012,71.10921935301353,152.38416812851057,111.864968804875,5.115526467
Iso Week 325,43463.8662482623,1650.8379076764145,103.7745761329403,99.94659416303952,104.88884585511605,63.16758196126934,161.26255669064554,102.35246446609638,6.06111078
Iso Week 326,20027.193049051213,825.3654001717157,102.49210199082889,102.09964202479536,60.86927248976336,83.95582672711205,118.45583971146868,90.91965438440025,5.66384766
Iso Week 327,9066.34374865024,393.9560858659901,124.43558223166882,105.35241920251796,86.12792071728053,110.7366697023296,128.58815133489134,56.97515741336474,3.775444609
Iso Week 328,4719.038392711062,272.1003529782022,76.67452722441739,124.11816421995908,102.00656344445044,85.84586911651876,109.125727399422,88.29809433526702,3.54010944
Iso Week 329,3097.75125261752,295.6534140377853,53.22862550006197,82.90984928524895,76.82143372814005,82.59093435604835,103.43225377336805,114.67177219586372,2.987210332
Iso Week 330,3079.727798015368,266.43070673618706,77.34926932819666,119.97861735725766,91.88323167185406,51.73622543889576,148.23151874420063,38.162445346788274,3.842777205
Iso Week 331,3516.2555465112314,280.825484774785,79.11503370078587,113.30020577495088,50.14290697793314,73.08935816585317,147.70052356830598,75.69846891937638,3.340244815
