IsoWeeks,cold flu,flu,flu symptoms,flue,bronchitis,chest infection,colds,laryngitis,pleurisy,sinusitis,gastric flu,sinuses,tonsilitis,Disease Rate
Iso Week 108,0.0,1440.131296934271,205.30732214139215,522.2490751433169,165.81255515248282,158.38189369228888,210.1746976109287,167.3875444305802,59.54497497239414,241.7380967496668,53.17649890595408,194.1793646077333,160.56910780446148,12.34553195
Iso Week 109,51.85105378091637,4381.4049605470045,259.7466185291897,484.1500301843877,109.27808111359796,250.70005070701768,161.547360525419,57.99488439839451,112.02262625045228,156.06377043713954,0.0,141.19735236524969,162.01153031524208,11.84656458
Iso Week 110,207.76602826289363,6535.577371992067,504.59346161663336,314.65606144967035,153.99203496016267,297.06764707491715,102.74326214056552,103.66688858023196,101.01007393254449,0.0,50.80364364184046,0.0,152.65694149180595,18.8543882
Iso Week 111,165.4733462040173,4266.659081655059,639.6510740493188,714.7063794522854,51.37543938698003,233.0146997759428,207.4900159935575,107.14240487797883,112.43590458131791,199.2953937488205,54.90150636648004,108.61042287382948,57.09172272856751,24.77901769
Iso Week 112,108.55925237769732,2755.8767724255854,388.8089351587272,566.8150927484679,0.0,286.08197538304574,156.0102850861258,146.711504582325,95.75503653098346,118.06912828317348,0.0,152.4952071466404,110.51767221008808,25.45052268
Iso Week 113,108.10257905212416,2471.309817372519,285.5529828099772,286.9417310887378,192.6029347976125,177.89551830224323,221.14493380663387,48.579660818162175,105.2019095829354,203.30160444355167,93.95975630593324,50.58235660811103,279.78972971970114,19.05226582
Iso Week 114,0.0,1680.233067616602,190.5509719405324,1532.204538792504,208.24281840092644,54.069418448587385,52.97654801740519,0.0,145.19232010637015,247.3939564402179,0.0,0.0,191.79538535025432,15.14868766
Iso Week 115,153.00920571053643,2583.316220944319,152.64681450281378,438.1321551360308,199.93082493802729,143.41113992770718,268.22987589682606,96.33401912506832,47.675664911047264,243.91420396049264,0.0,47.35940838589109,98.42475838311212,13.12247029
Iso Week 116,0.0,1765.5675975206418,97.85367494173376,447.5751479060568,222.11252008689647,122.05063108842045,152.22260584116512,97.488551172078,48.06452246912551,269.0929726206118,0.0,47.44956306503424,53.55610480698533,14.59895213
Iso Week 117,192.20699512155963,1379.024712430143,144.90392560617806,509.1883997014904,299.65270885842665,221.34488985289624,96.91455466277878,46.57522283750003,94.36243455003832,276.20660770347564,48.43237078877558,94.6403483824028,265.9775809191337,14.63275856
Iso Week 118,75.6316580663828,1369.374640253953,96.30759422072012,353.3446790362647,406.1669102209939,208.5690322785825,230.7476942774969,47.639543513005854,143.84731539434938,327.9807194155314,0.0,95.3483424879534,220.802175165164,14.1383106
Iso Week 119,48.21803561657547,1149.7121059453125,340.07833921540816,221.16311363826065,249.29245611744403,49.304041741032144,146.908510384422,96.4983372837716,99.11309256152336,185.4365087114707,103.58039316774294,99.50173022666078,89.39147211204644,8.581085008
Iso Week 120,51.76048611931047,941.2491354797723,261.9815050776064,249.7814298281719,307.9253181086284,198.1171431461733,163.50278325711403,58.938943028496055,51.17657820405058,200.86818760596157,89.41090205305728,0.0,194.9261297086289,5.93100413
Iso Week 121,122.26570629433628,874.3485446610482,177.38965464723188,242.51358049471145,120.81711058214708,180.93839701596107,123.11468358783578,204.33341371714485,122.32709766754029,178.3668520260837,58.56153703575792,257.2265152145732,119.5350106288394,5.541403246
Iso Week 122,75.51572277601055,1119.1470137869749,296.15762844951286,92.76907371684852,314.0980430514659,292.83560039955347,267.1066416428753,179.66747077394302,92.80767921653788,74.74715551378279,355.89780591258904,75.56161408515099,249.72276830971893,5.423178775
Iso Week 123,0.0,1215.402394743202,195.9085519825655,406.316765440061,288.50753007298766,396.82558231474974,221.5955719271927,0.0,274.2959819732852,142.80647261627783,91.8145074556184,170.74693795251355,241.6628742876861,3.641317386
Iso Week 124,87.47460630347759,2529.506840469937,265.1590761900836,410.43940299337766,218.247745678727,90.21648639417552,415.08919678582464,133.04042031391015,236.217296057222,203.50743370806236,44.72470201134805,113.13341805894504,86.90972669136737,3.468731256
Iso Week 125,66.80229028359709,1927.704034840673,171.90379492581908,113.55485419768338,270.75179584225805,159.9303296695557,0.0,0.0,128.91760072685042,173.78446856359128,0.0,85.20326291992423,336.40162105493374,3.251398101
Iso Week 126,42.788877532562665,1242.988434234794,130.54115055344826,306.8928012240048,287.93843046713954,234.15083811914488,316.63288691296515,0.0,0.0,252.0783385855341,42.142772879529055,116.77809306274354,84.97300731731197,3.31541019
Iso Week 127,204.77907754078893,1407.4102274897257,318.9571007470877,489.8706395078458,248.9073775640302,86.47164630557052,235.72184680739048,0.0,126.5455318055848,160.20956948177454,175.16212114323255,197.72878296776932,157.57738995508058,2.164591184
Iso Week 128,266.7869743770197,1834.487316351241,150.60169089533548,330.4037941216215,193.1642617900457,197.66377210812485,294.1670527220436,154.4203790687773,90.5491543115974,242.9372332908793,88.58889895303257,152.14611715582046,150.7598291013531,2.598177988
Iso Week 129,219.85324326234132,1471.0359956725788,188.42955133502568,378.3500152991118,92.93686433189916,128.40838623330856,202.2870667058432,86.74187864584367,42.94710742469709,365.0930858525826,243.63023354037963,91.19347720094464,156.92155781937456,1.616049309
Iso Week 130,92.28198751303135,1757.6343594268274,180.29140086097465,255.66131725777385,186.03248636885988,290.31795512005255,227.1376276472523,95.13211408876155,91.34920229170775,286.1236191800209,86.97433598812533,94.0520165540049,137.20876360286255,2.037920334
