IsoWeeks,cold flu,flu,flu symptoms,flue,bronchitis,chest infection,colds,laryngitis,pleurisy,sinusitis,gastric flu,sinuses,tonsilitis,Disease Rate
Iso Week 45,98.6586420317257,543.6641579312142,185.3932282710361,356.1876773620853,85.37834715620453,0.0,168.30641771903902,0.0,0.0,173.66599421987078,0.0,278.1397717616704,0.0,6.569480613
Iso Week 46,97.0093040408008,519.6729144438867,178.06196733949673,763.6177337434682,128.14234400813967,85.25428928842584,179.94930568349432,0.0,83.33287071581323,168.46254631422087,0.0,0.0,128.16024498990427,6.870510908
Iso Week 47,0.0,839.8011366058319,0.0,818.9365600493177,0.0,257.04581098203295,0.0,0.0,167.24130632709907,81.13091728345253,0.0,0.0,0.0,7.048726596
Iso Week 48,80.0271902196881,831.7856391285812,80.10530611096415,346.48736749821484,259.4457753402599,0.0,79.94285139487106,0.0,165.46496740979563,173.90537811388734,0.0,0.0,0.0,6.582247452
Iso Week 49,159.9714695565453,1204.882947352446,256.38914417070504,588.6615561327886,0.0,254.166579694496,322.3183020788956,79.84448289757289,334.44005225148004,249.0618958159203,152.82440638414667,91.05824427658126,256.1391643103961,8.309272243
Iso Week 50,0.0,1632.3421348591366,176.11134194412605,420.1451853473339,174.51071733192424,0.0,0.0,162.3095827035509,84.78067374190509,81.38474125397818,0.0,0.0,169.56134745028749,9.217719154
Iso Week 51,87.17929363364419,1040.7892732107016,0.0,506.7573953133832,86.93573109298397,0.0,0.0,0.0,179.92971366298585,87.74392342711614,0.0,87.85364903107721,0.0,12.98800869
Iso Week 52,156.4600885555445,827.816463827808,0.0,79.4306690620343,329.6404391079051,0.0,317.174949475822,160.8013382985826,0.0,171.52160265801783,78.33244647307183,0.0,170.9975006013051,14.83888886
Iso Week 53,169.74406753418882,762.2861292961094,79.52167839609285,304.11076295521,82.18977650643876,170.533356121625,0.0,0.0,163.73140761041512,227.46551192262956,0.0,0.0,0.0,14.49718197
Iso Week 54,226.31404850149244,891.5583919160766,0.0,624.7219276012098,302.68586029769324,0.0,152.5175009592302,0.0,304.0432686133469,152.73944342344956,164.57314795896505,78.23477820704493,223.9924615846344,23.64962367
